step,environment,gps_error,rtk_error,ekf_error
619,TUNNEL,,,4.719667472154404
620,TUNNEL,,,4.726502790845959
621,TUNNEL,,,4.73417288863841
622,TUNNEL,,,4.743045116726767
623,TUNNEL,,,4.753429624826635
624,TUNNEL,,,4.764540083721402
625,TUNNEL,,,4.775310589263577
626,TUNNEL,,,4.78604785701596
627,TUNNEL,,,4.796189891902221
628,TUNNEL,,,4.8060351910283945
629,TUNNEL,,,4.81542844549665
630,TUNNEL,,,4.824800716832319
631,TUNNEL,,,4.834014303500793
632,TUNNEL,,,4.843432939811309
633,TUNNEL,,,4.8528976029076505
634,TUNNEL,,,4.862743924314111
635,TUNNEL,,,4.872776305487063
636,TUNNEL,,,4.883780932619524
637,TUNNEL,,,4.895201840013975
638,TUNNEL,,,4.9064197306879995
639,TUNNEL,,,4.917445025420104
640,TUNNEL,,,4.928364063413423
641,TUNNEL,,,4.938584796567643
642,TUNNEL,,,4.948719343502907
643,TUNNEL,,,4.958424614401893
644,TUNNEL,,,4.967908224420906
645,TUNNEL,,,4.976711476138243
646,TUNNEL,,,4.985402735632987
647,TUNNEL,,,4.993643533892256
648,OPEN,2.222910152795171,0.023042604484061008,5.001589024738595
649,OPEN,0.9908166555044547,0.03398802505347803,5.008998691688379
650,OPEN,3.3709588466911944,0.06392025427971482,0.06392048249277227
651,OPEN,2.847054885268388,0.049082635147170074,0.04479480772013997
652,OPEN,5.381482609865255,0.05371956835307388,0.03472813511514932
653,OPEN,7.159531709851211,0.03962840425679355,0.032471364218638804
654,OPEN,2.966587284148831,0.028878498755677398,0.019210847428103788
655,OPEN,4.402970382000914,0.03793373066269544,0.03757599692472595
656,OPEN,3.7278389966642536,0.06984948712004886,0.047051458235018
657,OPEN,1.4731913870354316,0.04123915687413465,0.027468149596064025
658,OPEN,4.787211164113483,0.015731676060203495,0.01944900254944527
659,OPEN,4.731917153989453,0.048474151491258846,0.04332266248324184
660,OPEN,1.4970076679436366,0.005499754750424708,0.013666991377894214
661,OPEN,5.620992031883716,0.062338902613220365,0.052649206695577065
662,OPEN,4.699679464904211,0.07407813436308017,0.048038354953660635
663,OPEN,6.177010670745025,0.0314626707892456,0.022104479788655786
664,OPEN,3.957789549827996,0.024186755985819125,0.016108266054081707
665,OPEN,5.767918397187971,0.022572478695803276,0.015596073456438231
666,OPEN,0.6394135157950765,0.06465804435790246,0.05224187550900135
667,OPEN,2.1650871106955023,0.04193656281710824,0.024915764694801997
668,OPEN,2.733771944333536,0.043621291020611984,0.02870734730129776
669,OPEN,6.100382448812225,0.041980019793676264,0.03531899137402761
670,OPEN,4.335406640469205,0.0343933303719383,0.024837630494958827
671,OPEN,1.4373948661663698,0.10731601644054097,0.08928312989328083
672,OPEN,4.7593705701132745,0.0311529515617649,0.0167184317463144
673,OPEN,0.30511484036582465,0.03185675204765526,0.021949981274285348
674,OPEN,3.5472504831561316,0.07884276262404412,0.06280322089136496
675,OPEN,4.61461124330085,0.011715532868816419,0.02403919360947671
676,OPEN,0.47339597315794796,0.03700021378208998,0.029336857962173304
677,OPEN,0.8217132048699157,0.02194248921303594,0.011320600940604593
678,OPEN,2.3169826583274626,0.04044193883434482,0.03172826485720247
679,OPEN,3.2753477918560323,0.06232073789016894,0.05634400970665707
680,OPEN,6.086774383712123,0.051989364273071395,0.048286406555694474
681,OPEN,3.4768102690378604,0.04234990900370852,0.04462056989338804
682,OPEN,4.014342245528919,0.09340461538847987,0.08142484870539919
683,OPEN,1.9793960325653273,0.07483666803460465,0.039937961011912895
