step,gt_x,gt_y,gt_yaw,pos_error,yaw_error,heading_error_deg,lateral_deviation
39,246.9452362060547,-52.71009063720703,-89.15038299560547,0.021011701215286727,11.79913017850737,-0.543571472167949,0.04125679894059431
40,246.95152282714844,-53.11375427246094,-89.09617614746094,0.07062117155013707,20.497069773260282,-0.4893646240234397,0.03774627454185975
41,246.95819091796875,-53.517333984375,-89.10399627685547,0.06870356927533657,10.859787915558881,-0.49718475341795115,0.034586784033308504
42,246.96511840820312,-53.92076110839844,-89.03771209716797,0.029137160712985263,19.30721479171172,-0.4309005737304439,0.03171731030306546
43,246.9727325439453,-54.32400131225586,-89.02056121826172,0.022741412866775702,11.112407607597325,-0.41374969482423096,0.029504048770832014
44,246.98025512695312,-54.727088928222656,-88.94966888427734,0.02450023606771439,20.367322111854016,-0.3428573608398212,0.02722977012672345
45,246.98825073242188,-55.13005828857422,-88.94210052490234,0.04809462323260591,12.034584319889234,-0.3352890014648245,0.025428652344999136
46,246.99610900878906,-55.53296661376953,-88.88289642333984,0.028579576141115854,20.200800350264842,-0.2760848999023307,0.023490431558457203
47,247.00442504882812,-55.93587875366211,-88.88597869873047,0.07541410874335404,11.954761110001815,-0.27916717529294616,0.02200974636252795
48,247.0125274658203,-56.33884811401367,-88.83605194091797,0.015991786115759708,18.659711185033984,-0.22924041748049256,0.020315594023486483
