step,environment,gt_x,gt_y,ekf_x,ekf_y,error_m
35,TUNNEL,248.07199096679688,-35.036170959472656,8.495096872806478,-0.8218074422215089,242.00766693353683
36,TUNNEL,247.9517364501953,-35.41909408569336,8.896255080305588,-0.8862965030992546,241.53682386309154
37,TUNNEL,247.84214782714844,-35.81714630126953,9.311243568313158,-0.9407989347134176,241.06711076414038
38,TUNNEL,247.73968505859375,-36.230262756347656,9.740666583857145,-0.9836250157491829,240.59480099735114
39,TUNNEL,247.64308166503906,-36.658626556396484,10.184564605317423,-1.0166053993103448,240.11851448058786
40,TUNNEL,247.55096435546875,-37.101951599121094,10.642620171137803,-1.039077337090902,239.63742287923316
41,TUNNEL,247.46319580078125,-37.55975341796875,11.113661779419205,-1.0532933202013115,239.1523026462109
42,TUNNEL,247.37921142578125,-38.02849197387695,11.59275405216725,-1.0585254250041065,238.66719906058285
43,TUNNEL,247.29959106445312,-38.50293731689453,12.07479739176929,-1.0576140804489977,238.18659867977158
44,TUNNEL,247.22409057617188,-38.9780158996582,12.554918171829112,-1.0498088262578757,237.7144702552663
45,TUNNEL,247.15823364257812,-39.45051574707031,13.029528505882038,-1.0340441503308546,237.2595116300484
46,TUNNEL,247.1048583984375,-39.91835021972656,13.49750049810886,-1.0080010575255858,236.82570159739132
47,TUNNEL,247.0606231689453,-40.3813362121582,13.959538472519446,-0.9743812763883613,236.40859498749214
48,TUNNEL,247.02330017089844,-40.839786529541016,14.415978923908115,-0.9325188744787412,236.00583871886164
49,TUNNEL,246.99200439453125,-41.29509353637695,14.869089634880257,-0.8855429331288439,235.61404740904706
50,TUNNEL,246.9651336669922,-41.74878692626953,15.320207385268843,-0.8325256713439896,235.23076394712143
51,TUNNEL,246.94235229492188,-42.2027587890625,15.771729048451506,-0.7761647715869091,234.85318763868267
52,TUNNEL,246.9224090576172,-42.65843200683594,16.224651319977056,-0.715190405387163,234.47961732571213
53,TUNNEL,246.9052276611328,-43.11686325073242,16.68022862237047,-0.652002066215665,234.1085530642108
54,TUNNEL,246.88978576660156,-43.578285217285156,17.138160953185,-0.585226091933742,233.7396248764015
55,TUNNEL,246.8787384033203,-44.04231262207031,17.59792568340045,-0.5156484590438543,233.3757947488725
56,TUNNEL,246.87112426757812,-44.508113861083984,18.05836566563836,-0.44168956770191664,233.01744194165795
57,TUNNEL,246.86614990234375,-44.97480010986328,18.51903238460378,-0.3658134149398271,232.66363654986657
58,TUNNEL,246.86280822753906,-45.44140625,18.978676439419704,-0.28672026684980084,232.31470721213898
59,TUNNEL,246.86134338378906,-45.90725326538086,19.437232030419786,-0.20687452876286788,231.97036673148585
60,TUNNEL,246.86093139648438,-46.37188720703125,19.894019643596042,-0.12478587689265223,231.63068322673382
61,TUNNEL,246.86183166503906,-46.83521270751953,20.349536794565374,-0.042709490574217815,231.29495905617193
62,TUNNEL,246.8633270263672,-47.29737854003906,20.803643415130324,0.04107866412308857,230.96300587947587
63,TUNNEL,246.86581420898438,-47.75872039794922,21.25717370764292,0.12451225766506617,230.63404483817044
64,TUNNEL,246.86859130859375,-48.21967697143555,21.710189489080634,0.20944958863245317,230.307807530028
65,TUNNEL,246.8721160888672,-48.68067169189453,22.16350186545835,0.29391538206426915,229.98363308129026
