step,environment,gt_x,gt_y,ekf_x,ekf_y,error_m
28,TUNNEL,246.87112426757812,-44.508113861083984,246.86051616713823,-44.58067148418477,0.07332898789004579
29,TUNNEL,246.86614990234375,-44.97480010986328,246.85750471800614,-45.047535434061466,0.07324729755046432
30,TUNNEL,246.86280822753906,-45.44140625,246.85783676516206,-45.51393469751189,0.07269863228872524
31,TUNNEL,246.86134338378906,-45.90725326538086,246.85909441309371,-45.979388229295424,0.07217001377403243
32,TUNNEL,246.86093139648438,-46.37188720703125,246.86286133615533,-46.443477962652864,0.071616764501108
33,TUNNEL,246.86183166503906,-46.83521270751953,246.86683072648705,-46.90631341068889,0.07127622749934072
34,TUNNEL,246.8633270263672,-47.29737854003906,246.87272550966048,-47.36804767326839,0.07129135908088165
35,TUNNEL,246.86581420898438,-47.75872039794922,246.8783681551523,-47.829154007327844,0.07154365726245493
36,TUNNEL,246.86859130859375,-48.21967697143555,246.88557983014667,-48.29000717284509,0.07235293425190442
37,TUNNEL,246.8721160888672,-48.68067169189453,246.89227665135726,-48.75107303953113,0.07323112745933448
38,TUNNEL,246.87661743164062,-49.142024993896484,246.90086743734642,-49.2125553077848,0.07458275909293637
39,TUNNEL,246.8824005126953,-49.603939056396484,246.9093659405112,-49.67468626046915,0.07571196194389539
40,TUNNEL,246.8885955810547,-50.06648635864258,246.91962312036955,-50.13739013363717,0.07739543594049265
41,TUNNEL,246.8955841064453,-50.52959060668945,246.92955767325353,-50.60062751765688,0.07874291054734144
42,TUNNEL,246.90272521972656,-50.99307632446289,246.94100666645494,-51.064124333087534,0.08070494838078356
43,TUNNEL,246.9105224609375,-51.45672607421875,246.95189814740914,-51.52773984750453,0.08218821951644387
44,TUNNEL,246.91831970214844,-51.920345306396484,246.96410580425817,-51.99121059535792,0.0843697595468329
45,TUNNEL,246.92665100097656,-52.38377380371094,246.97558856384933,-52.45447068932256,0.08598217661299963
46,TUNNEL,246.93487548828125,-52.8469123840332,246.98825700357796,-52.9173910454857,0.08841282653273957
47,TUNNEL,246.94351196289062,-53.309749603271484,247.00009156212593,-53.38004159879978,0.09023422679326008
48,TUNNEL,246.95201110839844,-53.77232360839844,247.0130344358385,-53.842421943865105,0.09293881388879068
49,TUNNEL,246.96116638183594,-54.23470687866211,247.02528104072763,-54.304681496339356,0.09490593555661017
50,TUNNEL,246.97042846679688,-54.69700622558594,247.03879710149585,-54.76686022498821,0.09774380513921849
51,TUNNEL,246.9801483154297,-55.159305572509766,247.0515880949297,-55.229118575932844,0.09988742434342279
52,TUNNEL,246.98977661132812,-55.621707916259766,247.06557887084696,-55.69145225140087,0.10300609123947801
53,TUNNEL,246.9998321533203,-56.08423614501953,247.07876651124104,-56.15396053258444,0.10531914869414656
54,TUNNEL,247.00973510742188,-56.546913146972656,247.09307824795837,-56.616573009607066,0.1086212480904702
55,TUNNEL,247.02003479003906,-57.00970458984375,247.10652528674544,-57.07932622357602,0.11103052690168402
56,TUNNEL,247.03009033203125,-57.47257995605469,247.12103353518003,-57.54211043876888,0.11447774554658795
57,TUNNEL,247.04042053222656,-57.93549728393555,247.13462170158664,-58.0049403444849,0.11703076077368271
58,TUNNEL,247.0506134033203,-58.39840316772461,247.14924481867865,-58.46771017476971,0.12054715807989289
59,TUNNEL,247.0610809326172,-58.86125183105469,247.16291146310752,-58.93045331901801,0.12311905976037943
60,TUNNEL,247.07142639160156,-59.32404327392578,247.17765958152918,-59.39309162216671,0.12670108538208488
