Metric,Day Mean,Night Mean,Day Std,Night Std,Day Min,Night Min,Day Max,Night Max,% Change,t statistic,p value,Significant
rtk_y,133.78614414260196,133.78582235028878,0.19951299653069884,0.19996202668640267,133.4462868082057,133.44094289865242,134.0700666360164,134.0700666360164,-0.00024052738438284552,0.019731558336680135,0.9842640974323302,False
nees_rtk,7.930719266777657,7.932950989083164,5.1840851251640725,5.181007258927203,0.0004237782207413,0.0004237782207413,13.685875814823063,13.685875814823063,0.028140225752989367,-0.005274029842182735,0.9957937114057018,False
gt_x,8.658655698696773,8.65037201364835,25.900099598035286,25.90970197155831,-22.26084899902344,-22.51667213439941,53.12271881103516,53.12271881103516,-0.09566941262797664,0.003916402031148621,0.996876477380078,False
rtk_x,8.881453806686304,8.873661903229019,25.963105626425705,25.972172684604793,-22.16747090645859,-22.41789917725295,53.11873253906086,53.11873253906086,-0.08773229728920101,0.003674994709800979,0.9970690106570073,False
odo_x,7.971119716081151,7.96382283243974,25.87107158361603,25.879461604596063,-22.51114108767783,-22.72579071083927,53.04921995204569,53.04921995204569,-0.09154151363063802,0.0034538081634860524,0.997245417100119,False
gt_y,133.7962983194987,133.79624755859376,0.18312693627007617,0.18318725319735588,133.5732879638672,133.57174682617188,134.0507354736328,134.0507354736328,-3.7938945679574825e-05,0.00339430788858822,0.9972928713291922,False
cart_x,8.899956171445062,8.893590247275656,25.975229175354077,25.979677250448887,-21.98055305795876,-22.187646125538297,53.177079360413536,53.177079360413536,-0.07152759010017566,0.00300130766695114,0.9976063074678555,False
nees_odo,0.6563564350145906,0.6562940322038779,0.6292926422821743,0.6292844256785356,0.0818601897000893,0.0818601897000893,3.764895619159928,3.764895619159928,-0.009507457744555123,0.0012145068319571969,0.9990313690189472,False
gt_yaw,-2.34054888484132,-2.3405488786272777,2.088392188610347,2.0883921862374435,-3.1415268735108683,-3.1415268735108683,3.141423542860573,3.141423542860573,2.6549508151537014e-07,-3.6442466715791385e-08,0.9999999709352718,False
gyro_bias_rate,0.003794962531965673,0.003794962531965673,0.009551969977608106,0.009551969977608106,-0.003505261895515,-0.003505261895515,0.0376477069991783,0.0376477069991783,0.0,0.0,1.0,False
gyro_bias_offset,0.003794962531965673,0.003794962531965673,0.009551969977608106,0.009551969977608106,-0.003505261895515,-0.003505261895515,0.0376477069991783,0.0376477069991783,0.0,0.0,1.0,False
rtk_pyy,0.02839348255739024,0.02839348255739024,0.0016617870598608028,0.0016617870598608028,0.0212846128365079,0.0212846128365079,0.0376415872017532,0.0376415872017532,0.0,0.0,1.0,False
rtk_pxy,-0.0012679215042844623,-0.0012679215042844623,0.0025703984490655658,0.0025703984490655658,-0.0093461122926113,-0.0093461122926113,0.0002810710461401,0.0002810710461401,0.0,0.0,1.0,False
odo_yaw,-2.391175307527638,-2.391175307527638,1.919776676857951,1.919776676857951,-3.1414383338510934,-3.1414383338510934,3.141328659653692,3.141328659653692,0.0,0.0,1.0,False
rtk_pxx,0.010598325684212219,0.010598325684212219,0.002296639002549869,0.002296639002549869,0.0098602430238395,0.0098602430238395,0.0374980515044734,0.0374980515044734,0.0,0.0,1.0,False
step,149.5,149.5,86.74675786448736,86.74675786448736,0.0,0.0,299.0,299.0,0.0,0.0,1.0,False
rtk_yaw,-2.391175307527638,-2.391175307527638,1.919776676857951,1.919776676857951,-3.1414383338510934,-3.1414383338510934,3.141328659653692,3.141328659653692,0.0,0.0,1.0,False
adaptive_threshold,0.3,0.3,0.0,0.0,0.3,0.3,0.3,0.3,0.0,,,False
